City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
270,kapoeta,4.7717,33.5903,23.15,69,2,0.66,SS,1691718666
271,khanbari,27.3747,87.2039,24.35,92,100,0.15,NP,1691718667
272,al hasakah,36.5024,40.7477,32.26,29,0,5.46,SY,1691718667
273,mantua,45.1667,10.7833,22.58,85,100,0.89,IT,1691718667
274,coracora,-15.0333,-73.7833,10.9,44,0,0.62,PE,1691718667
275,six-fours-les-plages,43.0938,5.84,20.81,85,4,2.45,FR,1691718667
276,boiling springs,35.0465,-81.9818,26.08,78,0,2.06,US,1691718556
277,new norfolk,-42.7826,147.0587,12.72,73,100,2.8,AU,1691718667
278,tiquipaya,-17.3382,-66.2189,18.4,30,20,5.14,BO,1691718166
279,cidreira,-30.1811,-50.2056,17.63,96,95,6.83,BR,1691718101
280,kailua-kona,19.6406,-155.9956,27.98,77,75,4.63,US,1691718562
281,sarandi,-23.4436,-51.8739,25.75,50,0,5.14,BR,1691718667
282,novovorontsovka,47.5004,33.9175,20.33,93,100,4.0,UA,1691718667
283,saacow,1.6279,42.4407,22.13,87,84,3.72,SO,1691718668
284,pechora,65.1472,57.2244,13.2,72,67,2.63,RU,1691718668
285,mangaratiba,-22.9597,-44.0406,22.48,86,4,2.2,BR,1691718668
286,santa terezinha,-29.9002,-50.0904,17.72,96,72,5.68,BR,1691718668
287,dampit,-8.2116,112.7493,25.94,48,8,2.59,ID,1691718668
288,as suwayrah,32.9256,44.7758,35.56,19,0,4.15,IQ,1691718668
289,ola,59.5833,151.2833,21.75,68,0,2.31,RU,1691718192
290,smithers,54.7804,-127.1743,20.18,49,75,1.03,CA,1691718089
291,zagora,30.3484,-5.8365,32.46,18,11,2.61,MA,1691718669
292,kavieng,-2.5744,150.7967,27.85,75,97,6.64,PG,1691718152
293,taro,-8.3862,115.28,23.0,56,57,1.67,ID,1691718670
294,maragogi,-9.0122,-35.2225,23.43,85,65,3.88,BR,1691718107
295,trevelin,-43.0858,-71.4639,3.71,84,10,3.44,AR,1691718670
296,tokar,18.4254,37.729,32.3,43,60,8.93,SD,1691718670
297,citra,29.4119,-82.1098,30.23,97,0,3.21,US,1691718670
298,berezovo,63.9381,65.0419,11.74,68,3,3.89,RU,1691718670
299,flying fish cove,-10.4217,105.6791,25.82,78,40,5.66,CX,1691718670
300,la'ie,21.6477,-157.9253,30.98,66,14,6.54,US,1691718090
301,labytnangi,66.6572,66.4183,11.05,73,0,1.54,RU,1691718670
302,sandona,1.2915,-77.4741,15.38,87,98,3.2,CO,1691718671
303,island harbour,50.724,-1.2758,19.4,94,100,2.68,GB,1691718671
304,tezu,27.9167,96.1667,25.69,98,100,0.38,IN,1691718671
305,vilyuysk,63.7553,121.6247,23.0,51,100,4.52,RU,1691718671
306,posto fiscal rolim de moura,-13.0833,-62.2667,26.7,46,31,1.08,BR,1691718671
307,southwick,42.0548,-72.7704,21.82,96,100,3.6,US,1691718671
308,namtsy,62.7161,129.6658,23.08,50,99,5.28,RU,1691718671
309,nakhon luang,14.4628,100.6083,31.21,61,100,4.75,TH,1691718671
310,los altos,37.3852,-122.1141,27.5,65,0,8.75,US,1691718590
311,buka,40.8108,69.1986,25.57,29,0,2.06,UZ,1691718671
312,taroudant,30.4703,-8.877,35.69,21,54,3.4,MA,1691718672
313,ghanzi,-21.5667,21.7833,10.09,59,3,4.63,BW,1691718672
314,marica,-22.9194,-42.8186,24.95,84,29,3.17,BR,1691718672
315,jalpan,21.2333,-99.4833,26.58,71,10,1.11,MX,1691718672
316,sinabang,2.4803,96.3801,27.24,78,91,0.71,ID,1691718097
317,pacific grove,36.6177,-121.9166,21.78,88,75,3.13,US,1691718672
318,moundou,8.5667,16.0833,21.27,98,100,1.28,TD,1691718672
319,kurumkan,54.3,110.3,16.62,90,100,1.88,RU,1691718672
320,naze,28.3667,129.4833,27.51,78,100,1.57,JP,1691718169
321,castillos,-34.1667,-53.8333,15.78,95,100,2.31,UY,1691718672
322,al quwayrah,29.8004,35.3116,24.0,62,0,1.78,JO,1691718673
323,reynosa,26.0833,-98.2833,32.91,65,0,9.77,MX,1691718673
324,peace river,56.2501,-117.286,15.17,94,100,3.6,CA,1691718673
